depth,step_size,truncation,reward
2,0.483192,21,53.700000
3,0.473680,5,140.710000
4,0.949918,30,14.030000
2,0.833343,12,12.660000
3,0.174978,10,157.410000
0,0.597347,28,14.820000
7,0.926411,17,71.930000
2,0.671895,3,73.520000
1,0.795444,28,31.930000
1,0.599597,12,33.840000
2,0.233504,8,174.640000
4,0.969994,3,52.540000
0,0.801875,4,11.340000
1,0.651908,20,22.530000
3,0.885003,22,107.220000
3,0.055325,10,73.650000
7,0.915974,1,63.930000
6,0.875797,19,165.950000
1,0.194288,7,126.320000
6,0.210504,6,149.920000
6,0.577522,19,185.110000
3,0.717857,15,159.300000
5,0.075679,13,133.160000
2,0.709514,22,18.600000
6,0.292048,20,119.030000
0,0.201190,22,20.660000
0,0.547363,19,16.990000
7,0.912840,18,34.730000
0,0.550817,18,16.020000
2,0.959098,1,45.140000
0,0.347234,1,16.670000
1,0.651669,1,11.950000
1,0.559704,4,81.330000
0,0.073201,15,21.680000
1,0.390394,5,29.630000
3,0.711949,19,150.590000
4,0.200944,19,156.100000
2,0.784694,27,189.540000
5,0.870134,26,68.610000
6,0.158461,21,181.240000
2,0.176127,22,157.040000
3,0.616110,25,182.350000
3,0.298156,25,65.820000
3,0.044604,25,146.200000
0,0.358079,19,18.760000
5,0.075919,13,138.120000
1,0.811338,25,12.130000
4,0.149056,18,169.650000
6,0.494162,30,35.710000
6,0.752798,26,40.510000
2,0.751576,8,87.330000
7,0.075622,22,179.210000
5,0.832667,6,64.640000
5,0.716251,27,105.880000
1,0.510883,17,157.140000
6,0.223426,22,159.760000
7,0.685854,18,82.980000
0,0.168988,26,22.820000
2,0.255238,15,105.330000
3,0.002467,23,24.000000
0,0.876346,20,10.710000
0,0.674288,8,14.910000
7,0.097398,8,110.190000
3,0.374447,7,55.630000
0,0.063960,1,22.240000
2,0.321617,28,164.240000
1,0.275894,13,163.510000
4,0.671967,8,131.220000
7,0.848115,16,27.460000
0,0.078223,24,22.390000
1,0.628999,4,15.670000
5,0.293160,25,136.180000
4,0.891399,26,156.530000
2,0.963760,21,40.370000
7,0.337725,1,31.020000
3,0.712826,14,58.310000
0,0.920225,2,10.430000
1,0.708558,1,28.650000
4,0.306072,13,145.410000
1,0.137460,22,170.280000
4,0.064233,12,101.480000
6,0.783510,1,65.060000
3,0.435419,13,129.150000
5,0.883566,25,41.260000
6,0.472180,15,123.630000
6,0.066630,10,74.090000
0,0.568796,13,15.370000
7,0.026061,19,62.560000
2,0.591357,18,175.620000
0,0.180588,17,21.960000
1,0.929277,12,165.640000
4,0.717349,7,110.000000
6,0.390119,15,154.990000
1,0.477119,20,82.530000
7,0.851751,28,93.050000
1,0.823515,2,11.130000
